起点节点id,起点节点名称,终点节点id,终点节点名称,关系类型,关系权重,关系描述,置信度,强度,开始时间,结束时间
FOOD001007,葡萄酒,FOOD006017,食品添加剂与配料,DOWNSTREAM_OF,1.0,食品添加剂与配料是葡萄酒的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD001008,黄酒,FOOD006017,食品添加剂与配料,DOWNSTREAM_OF,1.0,食品添加剂与配料是黄酒的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD001009,预调酒,FOOD006017,食品添加剂与配料,DOWNSTREAM_OF,1.0,食品添加剂与配料是预调酒的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD002002,碳酸饮料,FOOD006017,食品添加剂与配料,DOWNSTREAM_OF,1.0,食品添加剂与配料是碳酸饮料的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD002003,茶饮料,FOOD006017,食品添加剂与配料,DOWNSTREAM_OF,1.0,食品添加剂与配料是茶饮料的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD002005,果汁与果蔬饮料,FOOD006017,食品添加剂与配料,DOWNSTREAM_OF,1.0,食品添加剂与配料是果汁与果蔬饮料的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD002007,功能饮料,FOOD006017,食品添加剂与配料,DOWNSTREAM_OF,1.0,食品添加剂与配料是功能饮料的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD002009,植物蛋白饮料,FOOD006017,食品添加剂与配料,DOWNSTREAM_OF,1.0,食品添加剂与配料是植物蛋白饮料的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD002011,含乳饮料,FOOD006017,食品添加剂与配料,DOWNSTREAM_OF,1.0,食品添加剂与配料是含乳饮料的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD002012,乳制品制造,FOOD006017,食品添加剂与配料,DOWNSTREAM_OF,1.0,食品添加剂与配料是乳制品制造的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD003001,发酵调味品,FOOD006017,食品添加剂与配料,DOWNSTREAM_OF,1.0,食品添加剂与配料是发酵调味品的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD003002,复合调味料,FOOD006017,食品添加剂与配料,DOWNSTREAM_OF,1.0,食品添加剂与配料是复合调味料的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD003011,基础调味品,FOOD006017,食品添加剂与配料,DOWNSTREAM_OF,1.0,食品添加剂与配料是基础调味品的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD004001,休闲食品制造,FOOD006017,食品添加剂与配料,DOWNSTREAM_OF,1.0,食品添加剂与配料是休闲食品制造的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD004004,烘焙食品制造,FOOD006017,食品添加剂与配料,DOWNSTREAM_OF,1.0,食品添加剂与配料是烘焙食品制造的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD005001,速冻食品制造,FOOD006017,食品添加剂与配料,DOWNSTREAM_OF,1.0,食品添加剂与配料是速冻食品制造的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD005005,肉制品加工,FOOD006017,食品添加剂与配料,DOWNSTREAM_OF,1.0,食品添加剂与配料是肉制品加工的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD005007,方便食品制造,FOOD006017,食品添加剂与配料,DOWNSTREAM_OF,1.0,食品添加剂与配料是方便食品制造的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD005008,预制菜与餐食加工,FOOD006017,食品添加剂与配料,DOWNSTREAM_OF,1.0,食品添加剂与配料是预制菜与餐食加工的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD005011,保健食品制造,FOOD006017,食品添加剂与配料,DOWNSTREAM_OF,1.0,食品添加剂与配料是保健食品制造的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD001001,白酒,FOOD006028,包装材料,DOWNSTREAM_OF,1.0,包装材料是白酒的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD001002,啤酒,FOOD006028,包装材料,DOWNSTREAM_OF,1.0,包装材料是啤酒的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD001007,葡萄酒,FOOD006028,包装材料,DOWNSTREAM_OF,1.0,包装材料是葡萄酒的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD001008,黄酒,FOOD006028,包装材料,DOWNSTREAM_OF,1.0,包装材料是黄酒的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD001009,预调酒,FOOD006028,包装材料,DOWNSTREAM_OF,1.0,包装材料是预调酒的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD002001,包装饮用水,FOOD006028,包装材料,DOWNSTREAM_OF,1.0,包装材料是包装饮用水的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD002002,碳酸饮料,FOOD006028,包装材料,DOWNSTREAM_OF,1.0,包装材料是碳酸饮料的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD002003,茶饮料,FOOD006028,包装材料,DOWNSTREAM_OF,1.0,包装材料是茶饮料的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD002005,果汁与果蔬饮料,FOOD006028,包装材料,DOWNSTREAM_OF,1.0,包装材料是果汁与果蔬饮料的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD002007,功能饮料,FOOD006028,包装材料,DOWNSTREAM_OF,1.0,包装材料是功能饮料的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD002009,植物蛋白饮料,FOOD006028,包装材料,DOWNSTREAM_OF,1.0,包装材料是植物蛋白饮料的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD002011,含乳饮料,FOOD006028,包装材料,DOWNSTREAM_OF,1.0,包装材料是含乳饮料的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD002012,乳制品制造,FOOD006028,包装材料,DOWNSTREAM_OF,1.0,包装材料是乳制品制造的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD003001,发酵调味品,FOOD006028,包装材料,DOWNSTREAM_OF,1.0,包装材料是发酵调味品的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD003002,复合调味料,FOOD006028,包装材料,DOWNSTREAM_OF,1.0,包装材料是复合调味料的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD004001,休闲食品制造,FOOD006028,包装材料,DOWNSTREAM_OF,1.0,包装材料是休闲食品制造的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD004004,烘焙食品制造,FOOD006028,包装材料,DOWNSTREAM_OF,1.0,包装材料是烘焙食品制造的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD005001,速冻食品制造,FOOD006028,包装材料,DOWNSTREAM_OF,1.0,包装材料是速冻食品制造的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD005005,肉制品加工,FOOD006028,包装材料,DOWNSTREAM_OF,1.0,包装材料是肉制品加工的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD005007,方便食品制造,FOOD006028,包装材料,DOWNSTREAM_OF,1.0,包装材料是方便食品制造的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD005008,预制菜与餐食加工,FOOD006028,包装材料,DOWNSTREAM_OF,1.0,包装材料是预制菜与餐食加工的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD005011,保健食品制造,FOOD006028,包装材料,DOWNSTREAM_OF,1.0,包装材料是保健食品制造的直接上游投入或供给环节。,0.8,,2026-07-28,
FOOD007001,线下现代渠道,FOOD000001,酒类制造,DOWNSTREAM_OF,1.0,酒类制造是线下现代渠道的跨层上游投影，由 2 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD007004,传统流通渠道,FOOD000001,酒类制造,DOWNSTREAM_OF,1.0,酒类制造是传统流通渠道的跨层上游投影，由 4 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD007005,餐饮与团餐渠道,FOOD000001,酒类制造,DOWNSTREAM_OF,1.0,酒类制造是餐饮与团餐渠道的跨层上游投影，由 5 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD007006,线上电商渠道,FOOD000001,酒类制造,DOWNSTREAM_OF,1.0,酒类制造是线上电商渠道的跨层上游投影，由 2 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD007009,终端消费场景,FOOD000001,酒类制造,DOWNSTREAM_OF,1.0,酒类制造是终端消费场景的跨层上游投影，由 1 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD007013,冷链物流与仓储,FOOD000001,酒类制造,DOWNSTREAM_OF,1.0,酒类制造是冷链物流与仓储的跨层上游投影，由 1 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD000007,食品饮料流通与消费渠道,FOOD001001,白酒,DOWNSTREAM_OF,1.0,白酒是食品饮料流通与消费渠道的跨层上游投影，由 2 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD000007,食品饮料流通与消费渠道,FOOD001002,啤酒,DOWNSTREAM_OF,1.0,啤酒是食品饮料流通与消费渠道的跨层上游投影，由 2 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD000007,食品饮料流通与消费渠道,FOOD001007,葡萄酒,DOWNSTREAM_OF,1.0,葡萄酒是食品饮料流通与消费渠道的跨层上游投影，由 5 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD000007,食品饮料流通与消费渠道,FOOD001008,黄酒,DOWNSTREAM_OF,1.0,黄酒是食品饮料流通与消费渠道的跨层上游投影，由 2 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD000007,食品饮料流通与消费渠道,FOOD001009,预调酒,DOWNSTREAM_OF,1.0,预调酒是食品饮料流通与消费渠道的跨层上游投影，由 4 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD007001,线下现代渠道,FOOD000002,乳品与非酒精饮料制造,DOWNSTREAM_OF,1.0,乳品与非酒精饮料制造是线下现代渠道的跨层上游投影，由 1 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD007004,传统流通渠道,FOOD000002,乳品与非酒精饮料制造,DOWNSTREAM_OF,1.0,乳品与非酒精饮料制造是传统流通渠道的跨层上游投影，由 6 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD007005,餐饮与团餐渠道,FOOD000002,乳品与非酒精饮料制造,DOWNSTREAM_OF,1.0,乳品与非酒精饮料制造是餐饮与团餐渠道的跨层上游投影，由 5 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD007009,终端消费场景,FOOD000002,乳品与非酒精饮料制造,DOWNSTREAM_OF,1.0,乳品与非酒精饮料制造是终端消费场景的跨层上游投影，由 2 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD000007,食品饮料流通与消费渠道,FOOD002001,包装饮用水,DOWNSTREAM_OF,1.0,包装饮用水是食品饮料流通与消费渠道的跨层上游投影，由 2 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD000007,食品饮料流通与消费渠道,FOOD002002,碳酸饮料,DOWNSTREAM_OF,1.0,碳酸饮料是食品饮料流通与消费渠道的跨层上游投影，由 3 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD000007,食品饮料流通与消费渠道,FOOD002005,果汁与果蔬饮料,DOWNSTREAM_OF,1.0,果汁与果蔬饮料是食品饮料流通与消费渠道的跨层上游投影，由 2 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD000007,食品饮料流通与消费渠道,FOOD002007,功能饮料,DOWNSTREAM_OF,1.0,功能饮料是食品饮料流通与消费渠道的跨层上游投影，由 2 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD000007,食品饮料流通与消费渠道,FOOD002009,植物蛋白饮料,DOWNSTREAM_OF,1.0,植物蛋白饮料是食品饮料流通与消费渠道的跨层上游投影，由 1 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD000007,食品饮料流通与消费渠道,FOOD002011,含乳饮料,DOWNSTREAM_OF,1.0,含乳饮料是食品饮料流通与消费渠道的跨层上游投影，由 3 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD000007,食品饮料流通与消费渠道,FOOD002012,乳制品制造,DOWNSTREAM_OF,1.0,乳制品制造是食品饮料流通与消费渠道的跨层上游投影，由 1 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD004001,休闲食品制造,FOOD000003,调味发酵品制造,DOWNSTREAM_OF,1.0,调味发酵品制造是休闲食品制造的跨层上游投影，由 1 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD005008,预制菜与餐食加工,FOOD000003,调味发酵品制造,DOWNSTREAM_OF,1.0,调味发酵品制造是预制菜与餐食加工的跨层上游投影，由 2 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD007001,线下现代渠道,FOOD000003,调味发酵品制造,DOWNSTREAM_OF,1.0,调味发酵品制造是线下现代渠道的跨层上游投影，由 1 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD007004,传统流通渠道,FOOD000003,调味发酵品制造,DOWNSTREAM_OF,1.0,调味发酵品制造是传统流通渠道的跨层上游投影，由 2 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD007005,餐饮与团餐渠道,FOOD000003,调味发酵品制造,DOWNSTREAM_OF,1.0,调味发酵品制造是餐饮与团餐渠道的跨层上游投影，由 3 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD007006,线上电商渠道,FOOD000003,调味发酵品制造,DOWNSTREAM_OF,1.0,调味发酵品制造是线上电商渠道的跨层上游投影，由 1 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD007009,终端消费场景,FOOD000003,调味发酵品制造,DOWNSTREAM_OF,1.0,调味发酵品制造是终端消费场景的跨层上游投影，由 1 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD000004,休闲食品与烘焙制造,FOOD003001,发酵调味品,DOWNSTREAM_OF,1.0,发酵调味品是休闲食品与烘焙制造的跨层上游投影，由 1 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD000007,食品饮料流通与消费渠道,FOOD003001,发酵调味品,DOWNSTREAM_OF,1.0,发酵调味品是食品饮料流通与消费渠道的跨层上游投影，由 2 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD000005,肉制品与预制便捷食品制造,FOOD003002,复合调味料,DOWNSTREAM_OF,1.0,复合调味料是肉制品与预制便捷食品制造的跨层上游投影，由 1 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD000007,食品饮料流通与消费渠道,FOOD003002,复合调味料,DOWNSTREAM_OF,1.0,复合调味料是食品饮料流通与消费渠道的跨层上游投影，由 2 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD000005,肉制品与预制便捷食品制造,FOOD003011,基础调味品,DOWNSTREAM_OF,1.0,基础调味品是肉制品与预制便捷食品制造的跨层上游投影，由 1 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD000007,食品饮料流通与消费渠道,FOOD003011,基础调味品,DOWNSTREAM_OF,1.0,基础调味品是食品饮料流通与消费渠道的跨层上游投影，由 4 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD007001,线下现代渠道,FOOD000004,休闲食品与烘焙制造,DOWNSTREAM_OF,1.0,休闲食品与烘焙制造是线下现代渠道的跨层上游投影，由 1 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD007004,传统流通渠道,FOOD000004,休闲食品与烘焙制造,DOWNSTREAM_OF,1.0,休闲食品与烘焙制造是传统流通渠道的跨层上游投影，由 1 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD007005,餐饮与团餐渠道,FOOD000004,休闲食品与烘焙制造,DOWNSTREAM_OF,1.0,休闲食品与烘焙制造是餐饮与团餐渠道的跨层上游投影，由 2 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD007006,线上电商渠道,FOOD000004,休闲食品与烘焙制造,DOWNSTREAM_OF,1.0,休闲食品与烘焙制造是线上电商渠道的跨层上游投影，由 1 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD007009,终端消费场景,FOOD000004,休闲食品与烘焙制造,DOWNSTREAM_OF,1.0,休闲食品与烘焙制造是终端消费场景的跨层上游投影，由 1 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD000007,食品饮料流通与消费渠道,FOOD004001,休闲食品制造,DOWNSTREAM_OF,1.0,休闲食品制造是食品饮料流通与消费渠道的跨层上游投影，由 2 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD000007,食品饮料流通与消费渠道,FOOD004004,烘焙食品制造,DOWNSTREAM_OF,1.0,烘焙食品制造是食品饮料流通与消费渠道的跨层上游投影，由 4 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD007001,线下现代渠道,FOOD000005,肉制品与预制便捷食品制造,DOWNSTREAM_OF,1.0,肉制品与预制便捷食品制造是线下现代渠道的跨层上游投影，由 1 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD007004,传统流通渠道,FOOD000005,肉制品与预制便捷食品制造,DOWNSTREAM_OF,1.0,肉制品与预制便捷食品制造是传统流通渠道的跨层上游投影，由 5 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD007005,餐饮与团餐渠道,FOOD000005,肉制品与预制便捷食品制造,DOWNSTREAM_OF,1.0,肉制品与预制便捷食品制造是餐饮与团餐渠道的跨层上游投影，由 4 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD007006,线上电商渠道,FOOD000005,肉制品与预制便捷食品制造,DOWNSTREAM_OF,1.0,肉制品与预制便捷食品制造是线上电商渠道的跨层上游投影，由 1 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD007009,终端消费场景,FOOD000005,肉制品与预制便捷食品制造,DOWNSTREAM_OF,1.0,肉制品与预制便捷食品制造是终端消费场景的跨层上游投影，由 1 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD007013,冷链物流与仓储,FOOD000005,肉制品与预制便捷食品制造,DOWNSTREAM_OF,1.0,肉制品与预制便捷食品制造是冷链物流与仓储的跨层上游投影，由 2 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD000007,食品饮料流通与消费渠道,FOOD005001,速冻食品制造,DOWNSTREAM_OF,1.0,速冻食品制造是食品饮料流通与消费渠道的跨层上游投影，由 2 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD000007,食品饮料流通与消费渠道,FOOD005005,肉制品加工,DOWNSTREAM_OF,1.0,肉制品加工是食品饮料流通与消费渠道的跨层上游投影，由 3 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD000007,食品饮料流通与消费渠道,FOOD005007,方便食品制造,DOWNSTREAM_OF,1.0,方便食品制造是食品饮料流通与消费渠道的跨层上游投影，由 2 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD000007,食品饮料流通与消费渠道,FOOD005008,预制菜与餐食加工,DOWNSTREAM_OF,1.0,预制菜与餐食加工是食品饮料流通与消费渠道的跨层上游投影，由 6 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD000007,食品饮料流通与消费渠道,FOOD005011,保健食品制造,DOWNSTREAM_OF,1.0,保健食品制造是食品饮料流通与消费渠道的跨层上游投影，由 1 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD001001,白酒,FOOD000006,食品原料、辅料与包材供应链,DOWNSTREAM_OF,1.0,食品原料、辅料与包材供应链是白酒的跨层上游投影，由 2 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD001002,啤酒,FOOD000006,食品原料、辅料与包材供应链,DOWNSTREAM_OF,1.0,食品原料、辅料与包材供应链是啤酒的跨层上游投影，由 3 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD001007,葡萄酒,FOOD000006,食品原料、辅料与包材供应链,DOWNSTREAM_OF,1.0,食品原料、辅料与包材供应链是葡萄酒的跨层上游投影，由 3 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD001008,黄酒,FOOD000006,食品原料、辅料与包材供应链,DOWNSTREAM_OF,1.0,食品原料、辅料与包材供应链是黄酒的跨层上游投影，由 3 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD001009,预调酒,FOOD000006,食品原料、辅料与包材供应链,DOWNSTREAM_OF,1.0,食品原料、辅料与包材供应链是预调酒的跨层上游投影，由 3 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD002001,包装饮用水,FOOD000006,食品原料、辅料与包材供应链,DOWNSTREAM_OF,1.0,食品原料、辅料与包材供应链是包装饮用水的跨层上游投影，由 2 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD002002,碳酸饮料,FOOD000006,食品原料、辅料与包材供应链,DOWNSTREAM_OF,1.0,食品原料、辅料与包材供应链是碳酸饮料的跨层上游投影，由 3 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD002003,茶饮料,FOOD000006,食品原料、辅料与包材供应链,DOWNSTREAM_OF,1.0,食品原料、辅料与包材供应链是茶饮料的跨层上游投影，由 3 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD002005,果汁与果蔬饮料,FOOD000006,食品原料、辅料与包材供应链,DOWNSTREAM_OF,1.0,食品原料、辅料与包材供应链是果汁与果蔬饮料的跨层上游投影，由 3 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD002007,功能饮料,FOOD000006,食品原料、辅料与包材供应链,DOWNSTREAM_OF,1.0,食品原料、辅料与包材供应链是功能饮料的跨层上游投影，由 3 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD002009,植物蛋白饮料,FOOD000006,食品原料、辅料与包材供应链,DOWNSTREAM_OF,1.0,食品原料、辅料与包材供应链是植物蛋白饮料的跨层上游投影，由 3 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD002011,含乳饮料,FOOD000006,食品原料、辅料与包材供应链,DOWNSTREAM_OF,1.0,食品原料、辅料与包材供应链是含乳饮料的跨层上游投影，由 3 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD002012,乳制品制造,FOOD000006,食品原料、辅料与包材供应链,DOWNSTREAM_OF,1.0,食品原料、辅料与包材供应链是乳制品制造的跨层上游投影，由 3 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD003001,发酵调味品,FOOD000006,食品原料、辅料与包材供应链,DOWNSTREAM_OF,1.0,食品原料、辅料与包材供应链是发酵调味品的跨层上游投影，由 3 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD003002,复合调味料,FOOD000006,食品原料、辅料与包材供应链,DOWNSTREAM_OF,1.0,食品原料、辅料与包材供应链是复合调味料的跨层上游投影，由 3 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD003011,基础调味品,FOOD000006,食品原料、辅料与包材供应链,DOWNSTREAM_OF,1.0,食品原料、辅料与包材供应链是基础调味品的跨层上游投影，由 2 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD004001,休闲食品制造,FOOD000006,食品原料、辅料与包材供应链,DOWNSTREAM_OF,1.0,食品原料、辅料与包材供应链是休闲食品制造的跨层上游投影，由 3 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD004004,烘焙食品制造,FOOD000006,食品原料、辅料与包材供应链,DOWNSTREAM_OF,1.0,食品原料、辅料与包材供应链是烘焙食品制造的跨层上游投影，由 3 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD005001,速冻食品制造,FOOD000006,食品原料、辅料与包材供应链,DOWNSTREAM_OF,1.0,食品原料、辅料与包材供应链是速冻食品制造的跨层上游投影，由 3 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD005005,肉制品加工,FOOD000006,食品原料、辅料与包材供应链,DOWNSTREAM_OF,1.0,食品原料、辅料与包材供应链是肉制品加工的跨层上游投影，由 3 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD005007,方便食品制造,FOOD000006,食品原料、辅料与包材供应链,DOWNSTREAM_OF,1.0,食品原料、辅料与包材供应链是方便食品制造的跨层上游投影，由 3 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD005008,预制菜与餐食加工,FOOD000006,食品原料、辅料与包材供应链,DOWNSTREAM_OF,1.0,食品原料、辅料与包材供应链是预制菜与餐食加工的跨层上游投影，由 3 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD005011,保健食品制造,FOOD000006,食品原料、辅料与包材供应链,DOWNSTREAM_OF,1.0,食品原料、辅料与包材供应链是保健食品制造的跨层上游投影，由 3 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD000001,酒类制造,FOOD006001,农产品原料,DOWNSTREAM_OF,1.0,农产品原料是酒类制造的跨层上游投影，由 5 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD000002,乳品与非酒精饮料制造,FOOD006001,农产品原料,DOWNSTREAM_OF,1.0,农产品原料是乳品与非酒精饮料制造的跨层上游投影，由 8 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD000003,调味发酵品制造,FOOD006001,农产品原料,DOWNSTREAM_OF,1.0,农产品原料是调味发酵品制造的跨层上游投影，由 3 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD000004,休闲食品与烘焙制造,FOOD006001,农产品原料,DOWNSTREAM_OF,1.0,农产品原料是休闲食品与烘焙制造的跨层上游投影，由 2 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD000005,肉制品与预制便捷食品制造,FOOD006001,农产品原料,DOWNSTREAM_OF,1.0,农产品原料是肉制品与预制便捷食品制造的跨层上游投影，由 5 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD000001,酒类制造,FOOD006017,食品添加剂与配料,DOWNSTREAM_OF,1.0,食品添加剂与配料是酒类制造的跨层上游投影，由 4 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD000002,乳品与非酒精饮料制造,FOOD006017,食品添加剂与配料,DOWNSTREAM_OF,1.0,食品添加剂与配料是乳品与非酒精饮料制造的跨层上游投影，由 7 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD000003,调味发酵品制造,FOOD006017,食品添加剂与配料,DOWNSTREAM_OF,1.0,食品添加剂与配料是调味发酵品制造的跨层上游投影，由 3 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD000004,休闲食品与烘焙制造,FOOD006017,食品添加剂与配料,DOWNSTREAM_OF,1.0,食品添加剂与配料是休闲食品与烘焙制造的跨层上游投影，由 2 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD000005,肉制品与预制便捷食品制造,FOOD006017,食品添加剂与配料,DOWNSTREAM_OF,1.0,食品添加剂与配料是肉制品与预制便捷食品制造的跨层上游投影，由 5 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD000001,酒类制造,FOOD006028,包装材料,DOWNSTREAM_OF,1.0,包装材料是酒类制造的跨层上游投影，由 5 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD000002,乳品与非酒精饮料制造,FOOD006028,包装材料,DOWNSTREAM_OF,1.0,包装材料是乳品与非酒精饮料制造的跨层上游投影，由 8 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD000003,调味发酵品制造,FOOD006028,包装材料,DOWNSTREAM_OF,1.0,包装材料是调味发酵品制造的跨层上游投影，由 2 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD000004,休闲食品与烘焙制造,FOOD006028,包装材料,DOWNSTREAM_OF,1.0,包装材料是休闲食品与烘焙制造的跨层上游投影，由 2 条 L2 上下游关系推导。,0.8,,2026-07-28,
FOOD000005,肉制品与预制便捷食品制造,FOOD006028,包装材料,DOWNSTREAM_OF,1.0,包装材料是肉制品与预制便捷食品制造的跨层上游投影，由 5 条 L2 上下游关系推导。,0.8,,2026-07-28,
